attempt,shard,cell,stage,terminal_state,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_output_subset,total_tokens,api_equivalent_usd,uncached_sensitivity_usd,events_sha256
original,r4-s0,b1cf8fd41273957d19a13390,0,completed,True,2627,0,4709,4029,7336,0.0231607500,0.0231607500,8d441a3e94647a1e9136a27bbeff2a573b74f66bf7e9bd4070408f3256781242
original,r4-s0,a89ad1acd967b17bf91d062a,0,completed,True,2550,0,1135,516,3685,0.0070200000,0.0070200000,b9ceacd1c3ac180c307f32cc56c0518db0305873a3c49c13584a1cca95c53940
original,r4-s0,a89ad1acd967b17bf91d062a,1,completed,True,3173,2048,4096,3501,7269,0.0194293500,0.0208117500,3933e726fc63fe67a98a9b93c3d08003b82890c2f79bf99bc4018ff3016751c4
original,r4-s0,a89ad1acd967b17bf91d062a,2,completed,True,3824,2048,4171,3453,7995,0.0202551000,0.0216375000,70cde1fdf30152dc214ac4c6d671655bd4fcc5e7702245284d9af6cd87297581
original,r4-s0,5fa92af9f5cab5db9f64a80b,0,completed,True,2548,2048,1941,1295,4489,0.0092631000,0.0106455000,ee240b5eb6b50d33c4de240c72d4c8ae1c5832915f29549d8b12b23726fdcffd
original,r4-s0,5fa92af9f5cab5db9f64a80b,1,completed,True,3199,2048,3354,2710,6553,0.0161098500,0.0174922500,eec1694dbc792aa292be68a1ef852eee4a1da038e1fc0ddcb28ea63de304005c
original,r4-s0,5fa92af9f5cab5db9f64a80b,2,completed,True,3899,0,3005,2333,6904,0.0164467500,0.0164467500,6fc04518c11ea523d6eabd70dff1117ef7b68546134f791a4eb0692dd6bb6634
original,r4-s0,6a1e6c6db87e98deba9edb1f,0,completed,True,2587,2048,3818,3141,6405,0.0177388500,0.0191212500,18828ca7357e4e014a2fd26af1746f53063b6798d47a6a99cc60f964a5efb9c0
original,r4-s0,48d78b5848059ea5c51bf37c,0,completed,True,2631,2048,4068,3414,6699,0.0188968500,0.0202792500,637d2471b36f5ebda1ec33a9f2b808b6c50d80a45fc760bad6dce0be6b6fcfee
original,r4-s0,a4796c5e1c315faeeab62e14,0,completed,True,2521,2048,841,516,3362,0.0042928500,0.0056752500,62d804e900d69a7b6ad68f227eda0e3ad3bceb5d4a0b9b3439794c1d4f989dce
original,r4-s0,a4796c5e1c315faeeab62e14,1,completed,True,2851,2048,178,99,3029,0.0015568500,0.0029392500,94809f8c1ca6b33984ffb369c169abe926b8b6673189336dfd9cbfd6a35414ce
original,r4-s0,a4796c5e1c315faeeab62e14,2,completed,True,2986,2048,235,148,3221,0.0019146000,0.0032970000,f729d429a589ff1c2e3ed62759aab6793cf1fc65a3791abf688c120ff66b4366
