attempt,shard,cell,stage,terminal_state,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_output_subset,total_tokens,api_equivalent_usd,uncached_sensitivity_usd,events_sha256
original,,06c43fd7c32594f99c12e690,0,completed,True,2746,2048,143,74,2889,0.0013206000,0.0027030000,72a3d3ee7dfb67a7d4eb6cda8cfd02c278f01d7e0d677cf0490f403d7df8f823
original,,0adc80108cc07410f36d0b1e,0,completed,True,2782,2048,310,156,3092,0.0020991000,0.0034815000,0319d13313a7a7f117eaad44ca19e30052c49cf2b3e7c0b5d91332b97a7fdb07
original,,0e481ee3198c3e2fed3e9217,0,completed,True,2879,2048,781,353,3660,0.0042913500,0.0056737500,8954e491b734ff2b21963cce705db50303262298bc21999d34cbe30a33e53fb7
original,,0f5103945c23efff87b2df06,0,completed,True,2777,2048,477,241,3254,0.0028468500,0.0042292500,89a4fbece3dd059ead2f9e78058da397584f8c76aca22936837dc7d7d2902b8b
original,,19642b879b679b7962067fc7,0,completed,True,2805,2048,1704,1034,4509,0.0083893500,0.0097717500,cc864d23110abbb19579c7fbe4e51275a85985629460e60c465b6bacea7fd3a9
original,,1c140f3304da621285b6f29a,0,completed,True,2795,2048,472,362,3267,0.0028378500,0.0042202500,f860c74be7d0e9af037c7d3da8c0244eb2c56fd79dda286a82093e1263069452
original,,1d4926ed05f266fd4274cb08,0,completed,True,2812,2048,1124,459,3936,0.0057846000,0.0071670000,c96fef3b1415c496a85e6f08fce9330a23a2e4147e0349e19beaa714985cba9e
original,,20da4973946211428a2ce901,0,completed,True,2739,2048,2386,1930,5125,0.0114088500,0.0127912500,6ecfcf7157982e395e844faf14e0c4e002baa1d49520140a1a10eaab78bf7743
original,,222eedc77066124e2283f87f,0,completed,True,2749,2048,1916,1532,4665,0.0093013500,0.0106837500,a7e6f8539bd7f16e6afa03e3a0031b7a237d1e7d3a2a17ab28921c0c03f35d35
original,,25400d2a4fe7a1d8de18c10b,0,completed,True,2751,2048,2540,2338,5291,0.0121108500,0.0134932500,b5d0189ece423c45cbe282acde69fbe2e64fe676bdf943b195025b4cdcabfb80
original,,290124eb835a92be4f84ec5d,0,completed,True,2788,2048,511,420,3299,0.0030081000,0.0043905000,2ffd31a85d8fe74202fd14002ab34a0c6e3cb0b19e8f6c176a2cf439b93ee650
original,,2a022ed68f6d12cbd863c333,0,completed,True,2912,2048,269,134,3181,0.0020121000,0.0033945000,b856cb21c00aaa60ecbd3f33f53f50cd0a4296a47496b2e402a1021610f4c791
original,,2ad3def93384f7b396c74f48,0,completed,True,2820,2048,418,278,3238,0.0026136000,0.0039960000,d2c0295e495a2461f07be0f4ae6f5ddc23c50d755878825559e23ff99b3ed642
original,,3504c0b6c3224ab98a4d01cd,0,completed,True,2840,2048,644,516,3484,0.0036456000,0.0050280000,a5a18fe72a07d0eacb95060608aff37c6484404e5924f266f23e68915e5af205
original,,35802caac91fc2ea20feb9da,0,completed,True,2777,2048,577,413,3354,0.0032968500,0.0046792500,51b49ee566f96c236f4f792a87f621c625c12f2c78e66b6741024dda3e81c123
