id,arm,replicate_id,attempt,generation_status,native_status,classification,resolved,known_turns,unknown_turns,total_tokens,api_equivalent_usd,generation_result_sha256,prediction_sha256,join_sha256
28b68f3c4fc8a95b48c76abe,multi_roles,2,completion,completed,complete,native_application_rejection,False,3,0,68273,0.1817385,83a3c5700ef910e8ca495ceec368c5feb6974fc54e9cfd2e16da7c0911e83797,ee3002103026b1f9e56da9786d6de439aae44de84780c27aa06d658f1abc533b,d6eee54cb1c3aa9d42078781487ed283cdcfd8716ff5a2971258568ef94c7b57
dc51f33e542b029c33b1d7cd,multi_neutral,2,completion,completed,complete,native_application_rejection,False,3,0,60338,0.14480475,8a82f5d9583b27f5245910d6107dbc946524a6ad9a45b2b47c4849b62d1144c4,facacc052427625fc5574d52984e3a2d9c5908899f7989c411c62353d83b7733,47570a46373518ab60caf1d83346d499e3bd4691ea3bc9b9a496c20688f0b309
94e3e0e8c79e4cc1b8072b6f,single_roles,2,completion,completed,complete,native_application_rejection,False,1,0,20239,0.05158425,4ec8b2f20931866635c2075c6a46afc60efbe2e10c1c5aac170fac5e2dcad11a,4995de28c3a7a9ae21b29d0eb8f59634116b267cefa8c5cc2299336a151fa31f,1479a62ce3edeac42e545228b0edd37896ff3388e9e007e88515c8e346f5e256
41af7f47343e5e9d3fc0fe0e,direct,1,completion,completed,complete,native_application_rejection,False,1,0,21549,0.05764425,b3658872bcfb730d7b88e128476788d7cc6ad017466c6cba59a53dfa785ce64f,738252224672416344f072e3b882302040770ca158a26b88cd5fce6019c27331,6c89cdd6927df8269786779dc7e8d33196d6c394cb847c156459aeaf1fa8fb5c
271f926dfe875b51e2aa24ad,single_neutral,1,completion,completed,complete,native_application_rejection,False,1,0,21526,0.05740575,02b15bcc86db72c652e36aaaa3fbb850418340a74158d6f62c9f0d9cb38102d8,e6c8b389d66fd3385a309f53a3acac5a037468781d10197b936322c13fdcfbff,31ff03943e755f0d1b468f17c0c2dbccf0f24c180ea281d6cc43f55734b04fe6
f02af368eccd67dacbb997c3,single_roles,1,completion,completed,complete,native_application_rejection,False,1,0,16603,0.03528225,b6dc5fcc45d3c43c8502e191f0b97aa7b26bfe428229a5a42415a24d7a434b1b,c26679d4da4dcbf8c34f293db4065c3a453624cf7c07e96d9d9bfff23a9dcccd,6811de5fd968689818023216d13c0a3158069e488c130a806d2088ea37ac0d56
88179aa469fc71929ed61802,multi_neutral,1,completion,completed,complete,candidate_test_or_patch_failure,False,3,0,57295,0.12970874999999998,8b73958abad2b4cb7e9a0829106e18bd0ff82be9d9b3ce0ae50dfd14d7deb749,d8d3eff74d6a6110b3ad24fc8f3ed526afb03b9f64bde0d1bd6c9853b57e217f,1579ba4d448351344e21e20915522e392466884bd7605e1675be5698edb41bde
44920fdc7d43efa5b60e8e69,multi_roles,1,completion,completed,complete,native_application_rejection,False,3,0,48970,0.1008075,29e19dad3339ed498bac8a066045bda735dd6fbb90a060db1ca15ff34e0f2b03,87883cd07007f8342beb0ab5ac777c800a83f4c5f4e6a70629e303e90a752945,d184251fc9d4d76822055f96ba438dba19da8b336075c4a22ba09415712b31ab
853f32ae77449ed741e2289b,direct,2,original,completed,complete,candidate_test_or_patch_failure,False,1,0,22658,0.06276975,0d36dcaac6932c12cab8649f46d8bc305f1b7aa8fce3aa0eccba5ea392da96b4,1b20a9cc7f347dbed789a63bf478e93af00cf0d8e07fb20535eb6fd604eabf0e,2b047e1a5de275da1d4efe21b146c64ab3909a84fa2a40131ba7bd43981feb2f
ec37748a310395b78caf261e,single_neutral,2,original,completed,complete,native_application_rejection,False,1,0,22636,0.06250575,81cc6d01701c2050fc8f6bc736eff4790465b2a7927794b00cd06bc97d4ce0fe,e0039c8ffc2396fbcbda1e236fd12eb4f58124938996033eb4209b1606032f98,08510578e7590ebd618eb8cc6acd24e22500f5b4afed3db26e0783395b5e6a56
