task_id,subgroup,gold,incorrect,eligible
BigCodeBench/614,prior200,pass,fail,True
BigCodeBench/552,prior200,pass,fail,True
BigCodeBench/1081,prior200,pass,fail,True
BigCodeBench/1075,prior200,pass,fail,True
BigCodeBench/591,prior200,pass,fail,True
BigCodeBench/24,prior200,pass,fail,True
BigCodeBench/1041,prior200,pass,fail,True
BigCodeBench/446,prior200,pass,fail,True
BigCodeBench/603,prior200,pass,fail,True
BigCodeBench/687,prior200,pass,fail,True
BigCodeBench/705,prior200,pass,fail,True
BigCodeBench/37,prior200,pass,fail,True
BigCodeBench/701,prior200,pass,fail,True
BigCodeBench/999,prior200,pass,fail,True
BigCodeBench/71,prior200,pass,fail,True
BigCodeBench/797,prior200,pass,fail,True
BigCodeBench/612,prior200,pass,fail,True
BigCodeBench/75,prior200,pass,fail,True
BigCodeBench/390,prior200,pass,fail,True
BigCodeBench/803,prior200,pass,fail,True
BigCodeBench/486,prior200,pass,fail,True
BigCodeBench/207,prior200,pass,fail,True
BigCodeBench/601,prior200,pass,fail,True
BigCodeBench/704,prior200,pass,fail,True
BigCodeBench/452,prior200,pass,fail,True
BigCodeBench/253,prior200,pass,fail,True
BigCodeBench/35,prior200,pass,fail,True
BigCodeBench/810,prior200,pass,fail,True
BigCodeBench/1124,prior200,pass,fail,True
BigCodeBench/683,prior200,pass,fail,True
BigCodeBench/1018,prior200,pass,fail,True
BigCodeBench/528,prior200,pass,fail,True
BigCodeBench/1125,prior200,pass,fail,True
BigCodeBench/1010,prior200,pass,fail,True
BigCodeBench/816,prior200,pass,fail,True
BigCodeBench/980,prior200,pass,fail,True
BigCodeBench/915,prior200,pass,fail,True
BigCodeBench/432,prior200,pass,fail,True
BigCodeBench/101,prior200,fail,fail,False
BigCodeBench/271,prior200,pass,fail,True
BigCodeBench/807,prior200,pass,fail,True
BigCodeBench/859,prior200,pass,fail,True
BigCodeBench/1126,prior200,pass,fail,True
BigCodeBench/830,prior200,pass,fail,True
BigCodeBench/440,prior200,pass,fail,True
BigCodeBench/581,prior200,pass,fail,True
BigCodeBench/234,prior200,pass,fail,True
BigCodeBench/149,prior200,pass,fail,True
BigCodeBench/940,prior200,pass,fail,True
BigCodeBench/744,prior200,pass,fail,True
BigCodeBench/723,prior200,pass,fail,True
BigCodeBench/276,prior200,fail,fail,False
BigCodeBench/1000,prior200,pass,fail,True
BigCodeBench/387,prior200,pass,fail,True
BigCodeBench/100,prior200,pass,fail,True
BigCodeBench/275,prior200,pass,fail,True
BigCodeBench/688,prior200,pass,fail,True
BigCodeBench/285,prior200,pass,fail,True
BigCodeBench/708,prior200,pass,fail,True
BigCodeBench/434,prior200,pass,fail,True
BigCodeBench/299,prior200,pass,fail,True
BigCodeBench/984,prior200,pass,fail,True
BigCodeBench/348,prior200,pass,fail,True
BigCodeBench/105,prior200,pass,fail,True
BigCodeBench/726,prior200,pass,fail,True
BigCodeBench/794,prior200,pass,fail,True
BigCodeBench/779,prior200,pass,fail,True
BigCodeBench/439,prior200,pass,fail,True
BigCodeBench/326,prior200,pass,fail,True
BigCodeBench/350,prior200,pass,fail,True
BigCodeBench/479,prior200,pass,fail,True
BigCodeBench/1025,prior200,pass,fail,True
BigCodeBench/391,prior200,pass,fail,True
BigCodeBench/849,prior200,pass,fail,True
BigCodeBench/406,prior200,pass,fail,True
BigCodeBench/554,prior200,pass,fail,True
BigCodeBench/242,prior200,pass,fail,True
BigCodeBench/31,prior200,pass,fail,True
BigCodeBench/1084,prior200,pass,fail,True
