batch,arm,assigned,observed,unavailable,availability_rate,passes,fails_including_timeout,pass_rate_observed,mean_api_equivalent_usd_observed
original,single_neutral,91,87,4,0.9560439560439561,43,44,0.4942528735632184,0.00972645
original,single_roles,93,91,2,0.978494623655914,43,48,0.4725274725274725,0.008567185714285712
original,multi_neutral,92,89,3,0.967391304347826,43,46,0.48314606741573035,0.021881930898876405
original,multi_roles,92,90,2,0.9782608695652174,47,43,0.5222222222222223,0.021200021666666666
original,direct,92,89,3,0.967391304347826,42,47,0.47191011235955055,0.006260526404494382
continuation,single_neutral,109,104,5,0.9541284403669725,50,54,0.4807692307692308,0.011399286057692313
continuation,single_roles,107,102,5,0.9532710280373832,49,53,0.4803921568627451,0.008934320588235295
continuation,multi_neutral,108,104,4,0.9629629629629629,43,61,0.41346153846153844,0.02277025673076923
continuation,multi_roles,108,103,5,0.9537037037037037,41,62,0.39805825242718446,0.022499517961165037
continuation,direct,108,104,4,0.9629629629629629,52,52,0.5,0.0066237879807692305
